goos: linux
goarch: amd64
pkg: github.com/soumitradev/barkov
cpu: AMD Ryzen 9 7900 12-Core Processor             
BenchmarkGenThreadedWithStart-4   	    1906	    668479 ns/op	  508887 B/op	    7687 allocs/op
BenchmarkGenThreadedWithStart-4   	    2092	    669663 ns/op	  518306 B/op	    7830 allocs/op
BenchmarkGenThreadedWithStart-4   	    1978	    721658 ns/op	  510811 B/op	    7716 allocs/op
BenchmarkValidatorCall-4          	21859563	        65.14 ns/op	      96 B/op	       1 allocs/op
BenchmarkValidatorCall-4          	21445478	        61.81 ns/op	      96 B/op	       1 allocs/op
BenchmarkValidatorCall-4          	21393843	        66.89 ns/op	      96 B/op	       1 allocs/op
BenchmarkValidatorCall-4          	21362318	        63.15 ns/op	      96 B/op	       1 allocs/op
BenchmarkValidatorCall-4          	20458300	        64.96 ns/op	      96 B/op	       1 allocs/op
PASS
ok  	github.com/soumitradev/barkov	102.972s
